법정동코드,시도명,시군구명,읍면동명,리명,순위,생성일자,삭제일자,과거법정동코드
1117012600,서울특별시,용산구,용산동3가,,26,1988-04-23,,
1117012700,서울특별시,용산구,용산동5가,,27,1988-04-23,,
1117012800,서울특별시,용산구,한강로3가,,28,1988-04-23,,
1117012900,서울특별시,용산구,이촌동,,29,1988-04-23,,
1120091600,서울특별시,성동구,성수2가4동,,0,1988-04-23,1988-04-23,
1120091700,서울특별시,성동구,자양1동,,0,1988-04-23,1988-04-23,
1120091800,서울특별시,성동구,자양2동,,0,1988-04-23,1988-04-23,
1129091900,서울특별시,성북구,하월곡2동,,0,1988-04-23,1988-04-23,
1129092000,서울특별시,성북구,하월곡3동,,0,1988-04-23,1988-04-23,
1129092100,서울특별시,성북구,하월곡4동,,0,1988-04-23,1988-04-23,
1129092200,서울특별시,성북구,장위1동,,0,1988-04-23,1988-04-23,
1129092300,서울특별시,성북구,장위2동,,0,1988-04-23,1988-04-23,
1129092400,서울특별시,성북구,장위3동,,0,1988-04-23,1988-04-23,
1129092500,서울특별시,성북구,석관1동,,0,1988-04-23,1988-04-23,
1129092600,서울특별시,성북구,석관2동,,0,1988-04-23,1988-04-23,
1130500000,서울특별시,강북구,,,9,1995-03-01,,
1130510100,서울특별시,강북구,미아동,,1,1998-09-28,,
1130510200,서울특별시,강북구,번동,,2,1995-03-01,,
1130510300,서울특별시,강북구,수유동,,3,1995-03-01,,
1130510400,서울특별시,강북구,우이동,,4,1995-03-01,,
1132000000,서울특별시,도봉구,,,10,1988-04-23,,
1132000300,서울특별시,도봉구,상계동,,0,1988-04-23,1988-04-23,
1132000400,서울특별시,도봉구,중계동,,0,1988-04-23,1988-04-23,
1132000500,서울특별시,도봉구,하계동,,0,1988-04-23,1988-04-23,
1132000600,서울특별시,도봉구,월계동,,0,1988-04-23,1988-04-23,
1132000700,서울특별시,도봉구,공릉동,,0,1988-04-23,1988-04-23,
1132010100,서울특별시,도봉구,미아동,,0,1991-09-07,1995-03-01,11060243
1132010200,서울특별시,도봉구,번동,,0,1991-09-07,1995-03-01,11060244
1132010300,서울특별시,도봉구,수유동,,0,1994-11-01,1995-03-01,11060245
1132010400,서울특별시,도봉구,우이동,,0,1988-04-23,1995-03-01,11060246
1132010500,서울특별시,도봉구,쌍문동,,1,1988-04-23,,
1132010600,서울특별시,도봉구,방학동,,2,1988-04-23,,
1132010700,서울특별시,도봉구,창동,,3,1989-01-01,,
1132010800,서울특별시,도봉구,도봉동,,4,1989-01-01,,
1132090100,서울특별시,도봉구,창1동,,0,1989-01-01,1989-01-01,
1132090200,서울특별시,도봉구,창2동,,0,1989-01-01,1989-01-01,
1132090300,서울특별시,도봉구,창3동,,0,1989-01-01,1989-01-01,
1132090400,서울특별시,도봉구,도봉1동,,0,1989-01-01,1989-01-01,
1132090500,서울특별시,도봉구,도봉2동,,0,1989-01-01,1989-01-01,
1132090600,서울특별시,도봉구,미아1동,,0,1988-04-23,1988-04-23,
1132090700,서울특별시,도봉구,미아2동,,0,1988-04-23,1988-04-23,
1132090800,서울특별시,도봉구,미아3동,,0,1988-04-23,1988-04-23,
1132090900,서울특별시,도봉구,미아4동,,0,1988-04-23,1988-04-23,
